単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
それぞれの正三角形の中心角は $\frac{360^\circ}{6} = 60^\circ$ であり、各辺の長さが2の正三角形になる。
一つの正三角形の面積は、
$$\frac{1}{2} \cdot 2 \cdot 2 \cdot \sin{60^\circ} = \frac{1}{2} \cdot 2 \cdot 2 \cdot \frac{\sqrt{3}}{2} = \sqrt{3}$$
正六角形は上記の正三角形が6つあるので、正六角形の面積は
$$\sqrt{3} \cdot 6 = 6\sqrt{3}$$
となる。
","基本例題 $$164$$：図形の分割と面積 $$(2)$$

$$(1)$$ $$ \triangle ABC $$ において、 $$ AB = 8 $$、 $$ AC = 5 $$、 $$ \angle A = 120^\circ $$ とする。 $$ \angle A $$ の二等分線と辺 $$ BC $$ の交点を $$ D $$ とするとき、線分 $$ AD $$ の長さを求めよ。

$$(2)$$ $$1$$ 辺の長さが $$1$$ の正八角形の面積を求めよ。
",,,,
図形と計量,円に内接する四角形の角についての特徴は？,三角形の面積、空間図形への応用,"教科書, 165（指針）",,1,,数Aでも扱っている。,,"円に内接する四角形の**対角の和は180°**である。
つまり、円に内接する四角形ABCDにおいて、∠A + ∠C = 180° かつ ∠B + ∠D = 180° が成り立つ。
","
**円に内接する四角形の性質は、対角の和が180°になるという関係を理解しよう。** この性質は、円周角の定理から導かれる重要な性質であり、図形問題において角度を求める際に非常に役立つ。この性質を**「使える」**ように、定理を覚えて終わりにするのではなく、**「なぜそうなるのか」**を理解することが重要。
","練習問題：

1. 円に内接する四角形ABCDにおいて、∠A = 70° のとき、∠C の大きさを求めよ。

2. 円に内接する四角形PQRSにおいて、∠P = 105°、∠Q = 80°であるとき、∠Rと∠Sの大きさをそれぞれ求めよ。

3. 四角形EFGHが円に内接しており、∠E = x、∠G = 2x - 30° であるとき、x の値を求めよ。

4. 円に内接する四角形ABCDにおいて、∠Aと∠Cの和が180°になることを、円周角の定理を用いて説明せよ（余裕があればチャレンジ）。
","練習問題の解答：

1.  円に内接する四角形では、対角の和が180°になるので、∠A + ∠C = 180° が成り立つ。∠A = 70°なので、70° + ∠C = 180°。したがって、∠C = 180° - 70° = 110° となる。

2.  四角形PQRSも円に内接しているので、対角の和がそれぞれ180°になる。
    *   ∠P + ∠R = 180° より、105° + ∠R = 180°。したがって、∠R = 180° - 105° = 75°。
    *   ∠Q + ∠S = 180° より、80° + ∠S = 180°。したがって、∠S = 180° - 80° = 100°。

3.  四角形EFGHも円に内接しているので、対角の和が180°になる。つまり、∠E + ∠G = 180°。∠E = x、∠G = 2x - 30° を代入すると、x + (2x - 30°) = 180°。これを解くと、
    3x - 30° = 180°
    3x = 210°
    x = 70°
    となる。

4.  **円周角の定理**とは、円周上の弧に対する円周角は、その弧に対する中心角の半分になるという定理です。
    *   円に内接する四角形ABCDにおいて、∠Aに対する円周角を作る弧をBDとします。この弧に対する中心角を∠BODとすると、∠A = 1/2 ∠BODとなります。
    *   また、∠Cに対する円周角を作る弧をBDとすると、この弧に対する中心角は360° - ∠BODとなります。よって∠C= 1/2 (360° - ∠BOD) = 180° - 1/2 ∠BOD となります。
    *   したがって、∠A + ∠C = 1/2 ∠BOD + 180° - 1/2 ∠BOD = 180° となり、∠Aと∠Cの和が180°となることが説明できます。
",,,,,
図形と計量,円に内接する四角形の辺の長さや面積を円に内接している条件を使って計算ができる？,三角形の面積、空間図形への応用,,"165, 166",5(2+3),,,"\textbf{基本例題 165 円に内接する四角形の面積 (1)}

円に内接する四角形 $ABCD$ において，$AB = 2,\; BC = 3,\; CD = 1,\; \angle ABC = 60^\circ$ とする。次のものを求めよ。

\begin{enumerate}
\item $AC$ の長さ
\item $AD$ の長さ
\item 四角形 $ABCD$ の面積
\end{enumerate}

\textbf{基本例題 166 円に内接する四角形の面積 (2)}

円に内接する四角形 $ABCD$ において，$AB = 4,\; BC = 5,\; CD = 7,\; DA = 10$ とする。次のものを求めよ。

\begin{enumerate}
\item $\cos A$ の値
\item 四角形 $ABCD$ の面積
\end{enumerate}

","1.  **AC の長さの求め方**

    三角形 ABC に余弦定理を適用すると、
    $$ AC^2 = AB^2 + BC^2 - 2 \cdot AB \cdot BC \cdot \cos \angle ABC $$
    となる。
    問題文より、$AB = 2,\; BC = 3,\; \angle ABC = 60^\circ$ なので、
    $$ AC^2 = 2^2 + 3^2 - 2 \cdot 2 \cdot 3 \cdot \cos 60^\circ = 4 + 9 - 12 \cdot \frac{1}{2} = 7 $$
    したがって、$AC = \sqrt{7}$ となる。

2.  **AD の長さの求め方**

    四角形 ABCD が円に内接していることから、$\angle ADC = 180^\circ - \angle ABC = 180^\circ - 60^\circ = 120^\circ$ となる。
    三角形 ADC に余弦定理を適用すると、
    $$ AC^2 = AD^2 + CD^2 - 2 \cdot AD \cdot CD \cdot \cos \angle ADC $$
    となる。
    $AC = \sqrt{7},\; CD = 1,\; \angle ADC = 120^\circ$ なので、
    $$ 7 = AD^2 + 1^2 - 2 \cdot AD \cdot 1 \cdot \cos 120^\circ $$
    $$ 7 = AD^2 + 1 - 2 \cdot AD \cdot (-\frac{1}{2}) $$
    $$ 7 = AD^2 + 1 + AD $$
    $$ AD^2 + AD - 6 = 0 $$
    この2次方程式を解くと、$(AD+3)(AD-2)=0$ より、$AD = -3, 2$ 。
    $AD > 0$ より、$AD=2$ となる。

3.  **四角形 ABCD の面積の求め方**

    四角形 ABCD の面積は、三角形 ABC の面積と三角形 ADC の面積の和で求められる。
    三角形 ABC の面積は、
    $$ \frac{1}{2} \cdot AB \cdot BC \cdot \sin \angle ABC = \frac{1}{2} \cdot 2 \cdot 3 \cdot \sin 60^\circ = \frac{1}{2} \cdot 2 \cdot 3 \cdot \frac{\sqrt{3}}{2} = \frac{3\sqrt{3}}{2} $$
    三角形 ADC の面積は、
    $$ \frac{1}{2} \cdot AD \cdot CD \cdot \sin \angle ADC = \frac{1}{2} \cdot 2 \cdot 1 \cdot \sin 120^\circ = \frac{1}{2} \cdot 2 \cdot 1 \cdot \frac{\sqrt{3}}{2} = \frac{\sqrt{3}}{2} $$
    したがって、四角形 ABCD の面積は、
    $$ \frac{3\sqrt{3}}{2} + \frac{\sqrt{3}}{2} = \frac{4\sqrt{3}}{2} = 2\sqrt{3} $$
    となる。

4.  **cos A の求め方**

    四角形 ABCD は円に内接するので、$\angle C = 180^\circ - \angle A$ となる。
    四角形 ABCD の面積を S とすると、三角形 ABD の面積と三角形 CBD の面積を足し合わせることで、
    $$ S = \frac{1}{2} \cdot AB \cdot AD \cdot \sin A + \frac{1}{2} \cdot BC \cdot CD \cdot \sin (180^\circ - A) $$
    $$ = \frac{1}{2} \cdot 4 \cdot 10 \cdot \sin A + \frac{1}{2} \cdot 5 \cdot 7 \cdot \sin A = \frac{75}{2} \sin A $$
    また、三角形 ABD に余弦定理を用いると
    $$ BD^2 = AB^2 + AD^2 - 2 \cdot AB \cdot AD \cdot \cos A = 16 + 100 - 80 \cos A $$
     三角形 CBD に余弦定理を用いると
    $$ BD^2 = BC^2 + CD^2 - 2 \cdot BC \cdot CD \cdot \cos (180^\circ - A) = 25 + 49 + 70 \cos A $$
    これら2式から、$116-80 \cos A = 74 + 70 \cos A$ となり、
    $42 = 150 \cos A$
    よって$\cos A = \frac{42}{150}=\frac{7}{25}$ となる。

5.  **四角形 ABCD の面積の求め方**

    $\sin^2 A + \cos^2 A = 1$ より、$\sin^2 A = 1 - (\frac{7}{25})^2 = \frac{576}{625}$ となる。
    $0^\circ < A < 180^\circ$ より、$\sin A = \frac{24}{25}$。
    よって、四角形 ABCD の面積は
    $$ S = \frac{75}{2} \sin A = \frac{75}{2} \cdot \frac{24}{25} = 36 $$
    となる。
","

*   **円に内接する四角形の性質**をしっかり理解しよう！特に**「対角の和は180°」**という性質は、問題を解く上で非常に重要になるよ。この性質を使うことで、角度に関する情報が足りない場合でも、別の角度を使って問題を解くことができるようになるんだ。
*   **余弦定理は、三角形の辺の長さと角度の関係を結びつける強力な武器**だよ！辺の長さや角度を求めるときには、まず余弦定理を使えないか考えてみよう。特に、三角形の3辺の長さがわかっている時や、2辺の長さとその間の角がわかっている時に役立つ。
*   **四角形の面積を求める問題では、三角形に分割する**ことを考えよう！今回の問題のように、四角形を2つの三角形に分割して、それぞれの面積を足し合わせることで、全体の面積を簡単に求められる。
*   **サインの値がわからないときは、相互関係を使って求める**ことができる。 $$\sin^2 A + \cos^2 A = 1 $$ という関係式はとても重要で、三角比の問題を解く上で、必ず使えるようにしておこう。
*  **「円に内接する」という条件は、単に図形が円の中にあるというだけでなく、角度や辺の長さの関係を特定するための重要な情報**なんだ。問題文中に「円に内接する」という言葉が出てきたら、すぐに「対角の和は180°」という性質を思い出すように習慣づけよう。
*   **一つの値を求めるのに、複数のアプローチがあることを知ろう！** 例えば、四角形の面積は、三角形に分割して足し合わせる方法と、 $$\sin $$の値を使って直接求める方法の2通りあったね。問題に合わせて最適な方法を選べるように、色々な解き方を理解しておくことが大切だよ。
","\begin{enumerate}
    \item 円に内接する四角形 $ABCD$ において、$AB = 5$, $BC = 8$, $\angle ABC = 60^\circ$, $AD = 5$ とする。
        \begin{enumerate}
            \item $AC$ の長さを求めよ。
            \item $\angle ADC$ の大きさを求めよ。
            \item $CD$ の長さを求めよ。
            \item 四角形 $ABCD$ の面積を求めよ。
        \end{enumerate}
    \item 円に内接する四角形 $ABCD$ において、$AB = 3$, $BC = 5$, $CD = 6$, $DA = 4$ とする。
        \begin{enumerate}
            \item $\cos \angle A$ の値を求めよ。
             \item 四角形 $ABCD$ の面積を求めよ。
        \end{enumerate}
\end{enumerate}
","\begin{enumerate}
    \item 
        \begin{enumerate}
            \item $AC$ の長さを求める。\\
            $\triangle ABC$ に余弦定理を適用すると、
            \begin{align*}
            AC^2 &= AB^2 + BC^2 - 2 \cdot AB \cdot BC \cdot \cos{\angle ABC} \\
            &= 5^2 + 8^2 - 2 \cdot 5 \cdot 8 \cdot \cos{60^\circ} \\
            &= 25 + 64 - 80 \cdot \frac{1}{2} \\
            &= 25 + 64 - 40 \\
            &= 49
            \end{align*}
            $AC > 0$ より、$AC = \sqrt{49} = 7$。
            
            \item $\angle ADC$ の大きさを求める。\\
            四角形 $ABCD$ が円に内接するので、$\angle ADC = 180^\circ - \angle ABC = 180^\circ - 60^\circ = 120^\circ$。
            
            \item $CD$ の長さを求める。\\
            $\triangle ADC$ に余弦定理を適用すると、
            \begin{align*}
            AC^2 &= AD^2 + CD^2 - 2 \cdot AD \cdot CD \cdot \cos{\angle ADC} \\
            7^2 &= 5^2 + CD^2 - 2 \cdot 5 \cdot CD \cdot \cos{120^\circ} \\
            49 &= 25 + CD^2 - 10 \cdot CD \cdot (-\frac{1}{2}) \\
            49 &= 25 + CD^2 + 5CD \\
            CD^2 + 5CD - 24 &= 0 \\
            (CD + 8)(CD - 3) &= 0
            \end{align*}
            $CD > 0$ より、$CD = 3$。

            \item 四角形 $ABCD$ の面積を求める。\\
            四角形 $ABCD$ の面積は、$\triangle ABC$ の面積と $\triangle ADC$ の面積の和である。
            \begin{align*}
            \triangle ABC &= \frac{1}{2} \cdot AB \cdot BC \cdot \sin{\angle ABC} \\
            &= \frac{1}{2} \cdot 5 \cdot 8 \cdot \sin{60^\circ} \\
            &= \frac{1}{2} \cdot 5 \cdot 8 \cdot \frac{\sqrt{3}}{2} \\
            &= 10\sqrt{3}
            \end{align*}
            \begin{align*}
            \triangle ADC &= \frac{1}{2} \cdot AD \cdot CD \cdot \sin{\angle ADC} \\
            &= \frac{1}{2} \cdot 5 \cdot 3 \cdot \sin{120^\circ} \\
            &= \frac{1}{2} \cdot 5 \cdot 3 \cdot \frac{\sqrt{3}}{2} \\
            &= \frac{15\sqrt{3}}{4}
            \end{align*}
            したがって、四角形 $ABCD$ の面積は、
             $10\sqrt{3} + \frac{15\sqrt{3}}{4} = \frac{40\sqrt{3} + 15\sqrt{3}}{4} = \frac{55\sqrt{3}}{4}$。
        \end{enumerate}
    \item 
        \begin{enumerate}
            \item $\cos \angle A$ の値を求める。\\
            四角形 $ABCD$ が円に内接するので、$\angle C = 180^\circ - \angle A$。\\
            $\triangle ABC$ に余弦定理を用いると、
            \begin{align*}
                BD^2 &= AB^2 + AD^2 - 2 \cdot AB \cdot AD \cdot \cos{\angle A} \\
                &= 3^2 + 4^2 - 2 \cdot 3 \cdot 4 \cdot \cos{A} \\
                &= 25 - 24\cos{A}
            \end{align*}
             $\triangle CBD$ に余弦定理を用いると、
            \begin{align*}
                BD^2 &= BC^2 + CD^2 - 2 \cdot BC \cdot CD \cdot \cos{\angle C} \\
                &= 5^2 + 6^2 - 2 \cdot 5 \cdot 6 \cdot \cos{(180^\circ-A)} \\
                &= 61 + 60\cos{A}
            \end{align*}
            したがって、
            \begin{align*}
            25 - 24\cos{A} &= 61 + 60\cos{A} \\
            -84\cos{A} &= 36 \\
            \cos{A} &= -\frac{36}{84} = -\frac{3}{7}
            \end{align*}
            
            \item 四角形 $ABCD$ の面積を求める。\\
           $\sin^2 A + \cos^2 A = 1$ より、
           \begin{align*}
           \sin^2 A &= 1 - \cos^2 A = 1 - \left(-\frac{3}{7}\right)^2 = 1 - \frac{9}{49} = \frac{40}{49}
           \end{align*}
           $0^\circ < A < 180^\circ$ より、$\sin A = \sqrt{\frac{40}{49}} = \frac{2\sqrt{10}}{7}$。
           四角形 $ABCD$ の面積を $S$ とすると、
            \begin{align*}
             S &= \frac{1}{2} \cdot AB \cdot AD \cdot \sin A + \frac{1}{2} \cdot BC \cdot CD \cdot \sin (180^\circ - A) \\
             &= \frac{1}{2} \cdot 3 \cdot 4 \cdot \sin A + \frac{1}{2} \cdot 5 \cdot 6 \cdot \sin A \\
             &= 6\sin A + 15 \sin A = 21 \sin A \\
             &= 21 \cdot \frac{2\sqrt{10}}{7} = 6\sqrt{10}
            \end{align*}
        \end{enumerate}
\end{enumerate}
","基本例題 $$165$$：円に内接する四角形の面積 $$(1)$$

円に内接する四角形 $$ABCD$$ において，$$AB = 2$$，$$BC = 3$$，$$CD = 1$$，$$\angle ABC = 60^\circ$$ とする。次のものを求めよ。

\begin{align*} &(1)\enspace AC の長さ \\ &(2)\enspace AD の長さ \\ &(3)\enspace 四角形 ABCD の面積 \end{align*}


基本例題 $$166$$：円に内接する四角形の面積 $$(2)$$

円に内接する四角形 $$ABCD$$ において，$$AB = 4$$，$$BC = 5$$，$$CD = 7$$，$$DA = 10$$ とする。次のものを求めよ。

\begin{align*} &(1)\enspace \cos A の値 \\ &(2)\enspace 四角形 ABCD の面積 \end{align*}
",,,,
図形と計量,三角形の内接円とは？,三角形の面積、空間図形への応用,教科書,,1,,,,"三角形の**内接円**とは、三角形の**3つの辺すべてに接する円**のこと。
この円の中心を**内心**と呼ぶ。
","**内接円は、三角形の3つの辺に接するという定義をしっかり理解しよう。また、内接円の中心（内心）が、3つの角の二等分線の交点であることも合わせて理解しておこう。**
","練習問題：

1.  以下の図の三角形ABCにおいて、内接円の中心をPとします。このとき、線分AP, BP, CPはそれぞれどのような線分になるか答えなさい。

    （図は、三角形ABCの中に内接円が描かれており、内接円の中心がPとして示されている。また、各頂点とPは線分で結ばれている。）

2.  半径2の円が三角形ABCに内接しているとき、三角形ABCの各辺と円の接点をそれぞれD,E,Fとする。
このとき、線分ADの長さを $x$, 線分BEの長さを $y$, 線分CFの長さを $z$ とするとき、線分AE, BF, CDの長さをそれぞれ $x$, $y$, $z$ を用いて表しなさい。

3.  以下の図のような三角形ABCにおいて、内接円の半径を $r$、三角形ABCの面積を $S$ 、三角形ABCの3辺の長さをそれぞれ $a,b,c$ とするとき、 $S = \frac{1}{2} r (a+b+c)$ が成り立つことを説明しなさい。

    （図は、三角形ABCの中に内接円が描かれており、内接円の中心をIとしている。また、各頂点とIは線分で結ばれており、内接円と各辺との接点が示されている。）
","練習問題の解答：

1.  線分AP, BP, CPはそれぞれ、**∠A, ∠B, ∠Cの二等分線**になります。
    *   **内接円の中心（内心）は、三角形の3つの角の二等分線の交点**なので、内接円の中心Pと各頂点を結ぶ線分は、その頂点の角を二等分します。

2.  線分AE, BF, CDの長さはそれぞれ、
    *   線分AE = $x$
    *   線分BF = $y$
    *   線分CD = $z$
    となります。

    *   円外の一点から円に引いた2本の接線の長さは等しいという性質があります。
    *   この性質から、AD=AE, BE=BF, CF=CDとなります。

3.  三角形ABCの面積Sは、三角形IAB, IBC, ICAの面積の和で表せます。
    *   三角形IABの面積は、$\frac{1}{2} \times AB \times r = \frac{1}{2}cr$
    *   三角形IBCの面積は、$\frac{1}{2} \times BC \times r = \frac{1}{2}ar$
    *   三角形ICAの面積は、$\frac{1}{2} \times CA \times r = \frac{1}{2}br$

    したがって、三角形ABCの面積Sは、
    $$
    S = \frac{1}{2}cr + \frac{1}{2}ar + \frac{1}{2}br = \frac{1}{2}r(a+b+c)
    $$
    と表されます。

    *   三角形の面積を、内接円の半径と３辺の長さで表すことができることは重要なポイントです。
",,,,,
図形と計量,△ABCの内接円の半径と△ABCの面積との関係は？,三角形の面積、空間図形への応用,"教科書, p264~265",,1,,,,"△ABC の内接円の半径を $r$、△ABC の面積を $S$、△ABC の各辺の長さをそれぞれ $a, b, c$ とすると、

$S = \frac{1}{2}ar + \frac{1}{2}br + \frac{1}{2}cr = \frac{1}{2}(a+b+c)r$

となる。よって、$S = rs$ (ただし $s = \frac{a+b+c}{2}$) と表せる。
","**三角形の面積を、内接円の半径を用いて表せることを理解しよう。** 特に、**三角形を3つの小さな三角形に分割する** という考え方が重要。この考え方は、図形問題を解く上で非常に役立つ。
","練習問題：

1.  半径3の内接円を持つ三角形があり、その三角形の3辺の長さの合計が30であるとき、この三角形の面積を求めよ。
2.  △ABCにおいて、AB=13, BC=14, CA=15であるとき、この三角形の面積をヘロンの公式を用いて求め、さらに内接円の半径を求めよ。
3.  正三角形ABCがあり、一辺の長さが6である。この正三角形の内接円の半径を求めよ。また、この正三角形の面積を、内接円の半径を使って求め、通常の方法で求めた面積と比較せよ。
","練習問題の解答：

1.  三角形の面積を $S$、内接円の半径を $r$、3辺の長さの合計を $L$ とすると、$S = \frac{1}{2}Lr$ で表せる。
   問題文より、$r = 3$, $L = 30$ なので、$S = \frac{1}{2} \times 30 \times 3 = 45$。
    **したがって、三角形の面積は45である。**

2.  **まずヘロンの公式**を使って三角形の面積を求める。$a=13, b=14, c=15$ とすると、$s = \frac{13+14+15}{2} = 21$。
    面積 $S$ は $S = \sqrt{s(s-a)(s-b)(s-c)} = \sqrt{21(21-13)(21-14)(21-15)} = \sqrt{21 \times 8 \times 7 \times 6} = \sqrt{7056} = 84$
    次に内接円の半径を $r$ とすると、三角形の面積は $S = rs$ とも表せるので、 $84 = 21r$。したがって、$r = 4$。
    **したがって、三角形の面積は84であり、内接円の半径は4である。**
    (注: **ヘロンの公式**とは、三角形の3辺の長さがわかっているときに、三角形の面積を求める公式のこと。)

3.  正三角形の一辺の長さを $a$ とすると、正三角形の面積は $\frac{\sqrt{3}}{4}a^2$ と表せる。
    この問題では、$a = 6$ なので、面積は $\frac{\sqrt{3}}{4} \times 6^2 = 9\sqrt{3}$。
    次に内接円の半径 $r$ を求める。正三角形の場合、内接円の中心と外接円の中心は一致する。正三角形の中心から頂点までの距離は、正三角形の高さを $\frac{2}{3}$ 倍したものに等しい。
    正三角形の高さは $\frac{\sqrt{3}}{2}a = 3\sqrt{3}$ なので、内接円の半径は $\frac{1}{3}$倍して $r = \frac{1}{3} \times 3\sqrt{3} = \sqrt{3}$となる。
    (注: 正三角形の高さは、三平方の定理を使うことで導くことができる。)
    内接円の半径を使って面積を計算すると、$S = rs = \sqrt{3} \times \frac{6+6+6}{2} = 9\sqrt{3}$。
    **したがって、内接円の半径は$\sqrt{3}$であり、内接円の半径を使って求めた面積と、通常の方法で求めた面積はどちらも$9\sqrt{3}$で等しい。**
",,,,,
